date,url,code,time_total,time_connect,time_appconnect,time_starttransfer
2019-11-29 09:12:35,digitec,200,0.181042,0.022234,0.071132,0.106839
2019-11-29 09:12:50,digitec,200,0.262331,0.025914,0.072044,0.106680
2019-11-29 09:13:06,digitec,200,0.250516,0.043386,0.123304,0.176228
2019-11-29 09:13:21,digitec,200,0.248475,0.037524,0.122222,0.170629
2019-11-29 09:13:36,digitec,200,0.311303,0.082335,0.141378,0.223219
2019-11-29 09:13:52,digitec,200,0.279201,0.040765,0.124090,0.192523
2019-11-29 09:14:07,digitec,200,0.192075,0.018613,0.068329,0.108250
2019-11-29 09:14:22,digitec,200,0.193071,0.022176,0.068674,0.104211
2019-11-29 09:14:37,digitec,200,0.152824,0.022718,0.066749,0.097609
2019-11-29 09:14:53,digitec,200,0.246719,0.024093,0.087481,0.133836
2019-11-29 09:15:08,digitec,200,0.248158,0.030915,0.102642,0.154835
2019-11-29 09:15:23,digitec,200,0.144857,0.020016,0.061673,0.097591
2019-11-29 09:15:38,digitec,200,0.134505,0.019944,0.055525,0.085867
2019-11-29 09:15:54,digitec,200,0.226797,0.019656,0.051339,0.196859
2019-11-29 09:16:09,digitec,200,0.103898,0.016228,0.041292,0.058732
2019-11-29 09:16:24,digitec,200,0.136069,0.017722,0.047709,0.070062
2019-11-29 09:16:39,digitec,200,0.132476,0.008086,0.034551,0.073243
2019-11-29 09:16:54,digitec,200,0.130687,0.015649,0.040425,0.061597
2019-11-29 09:17:09,digitec,200,0.126401,0.016729,0.042752,0.068227
2019-11-29 09:17:25,digitec,200,0.132719,0.017831,0.045524,0.068760
2019-11-29 09:17:40,digitec,200,0.179363,0.010125,0.045934,0.078647
2019-11-29 09:17:55,digitec,200,0.195538,0.040439,0.085748,0.127866
2019-11-29 09:18:10,digitec,200,0.163156,0.021923,0.068242,0.098429
2019-11-29 09:18:26,digitec,200,0.143566,0.008337,0.046918,0.080398
2019-11-29 09:18:41,digitec,200,0.184541,0.022761,0.073273,0.106725
2019-11-29 09:18:56,digitec,200,0.206297,0.022877,0.071436,0.115409
2019-11-29 09:19:11,digitec,200,0.284754,0.032430,0.113279,0.181718
2019-11-29 09:19:27,digitec,200,0.131641,0.017161,0.054685,0.077246
2019-11-29 09:19:42,digitec,200,0.170229,0.026024,0.071681,0.106876
2019-11-29 09:19:57,digitec,200,0.192598,0.021728,0.063798,0.102828
2019-11-29 09:20:12,digitec,200,0.141254,0.015311,0.047492,0.087839
2019-11-29 09:20:27,digitec,200,0.197305,0.025611,0.080616,0.120873
2019-11-29 09:20:43,digitec,200,0.136107,0.015953,0.056704,0.077104
2019-11-29 09:20:58,digitec,200,0.150546,0.009843,0.042704,0.070876
2019-11-29 09:21:13,digitec,200,0.168093,0.025485,0.068373,0.106548
2019-11-29 09:21:28,digitec,200,0.162437,0.025819,0.071846,0.103887
2019-11-29 09:21:43,digitec,200,0.155687,0.013809,0.055747,0.097837
2019-11-29 09:21:59,digitec,200,0.205260,0.021184,0.068778,0.127200
2019-11-29 09:22:14,digitec,200,0.186201,0.028191,0.086148,0.114475
2019-11-29 09:22:29,digitec,200,0.249728,0.019112,0.058483,0.081227
2019-11-29 09:22:44,digitec,200,0.136625,0.007881,0.039371,0.062540
2019-11-29 09:23:00,digitec,200,0.123857,0.018859,0.048114,0.078135
2019-11-29 09:23:15,digitec,200,0.142020,0.019523,0.062179,0.088007
2019-11-29 09:23:30,digitec,200,0.133831,0.010653,0.047271,0.073494
2019-11-29 09:23:45,digitec,200,0.170273,0.021850,0.071319,0.093291
2019-11-29 09:24:00,digitec,200,0.148556,0.018360,0.058093,0.078584
2019-11-29 09:24:15,digitec,200,0.117027,0.010569,0.041479,0.067462
2019-11-29 09:24:31,digitec,200,0.179889,0.022428,0.065661,0.117783
2019-11-29 09:24:46,digitec,200,0.170510,0.023260,0.083603,0.114926
2019-11-29 09:25:01,digitec,200,0.195572,0.026236,0.073415,0.122867
2019-11-29 09:25:16,digitec,200,0.279107,0.029593,0.114851,0.167997
2019-11-29 09:25:32,digitec,200,0.180630,0.024920,0.076212,0.107353
2019-11-29 09:25:47,digitec,200,0.288523,0.042087,0.125626,0.199654
2019-11-29 09:26:02,digitec,200,0.290557,0.014651,0.073744,0.206867
2019-11-29 09:26:18,digitec,200,0.178934,0.024864,0.072772,0.110968
2019-11-29 09:26:33,digitec,200,0.209541,0.023539,0.074020,0.117871
2019-11-29 09:26:48,digitec,200,0.206521,0.023174,0.063466,0.104197
2019-11-29 09:27:03,digitec,200,0.189334,0.015032,0.062634,0.095579
2019-11-29 09:27:18,digitec,200,0.124242,0.017898,0.051915,0.072774
2019-11-29 09:27:34,digitec,200,0.222246,0.024757,0.061965,0.150601
2019-11-29 09:27:49,digitec,200,0.237246,0.028821,0.102243,0.151061
2019-11-29 09:28:04,digitec,200,0.160394,0.020616,0.061141,0.097313
2019-11-29 09:28:19,digitec,200,0.127038,0.019236,0.043739,0.069581
2019-11-29 09:28:35,digitec,200,0.118854,0.007955,0.035546,0.059040
2019-11-29 09:28:50,digitec,200,0.273775,0.037370,0.106499,0.168720
2019-11-29 09:29:05,digitec,200,0.190688,0.020964,0.063316,0.104911
2019-11-29 09:29:20,digitec,200,0.168350,0.014357,0.057891,0.091367
2019-11-29 09:29:35,digitec,200,0.263756,0.038011,0.107062,0.164121
2019-11-29 09:29:51,digitec,200,0.289395,0.042523,0.144901,0.199031
2019-11-29 09:30:06,digitec,200,0.159793,0.014066,0.062426,0.096734
2019-11-29 09:30:21,digitec,200,0.182757,0.021120,0.067493,0.112087
2019-11-29 09:30:37,digitec,200,0.201766,0.023289,0.074376,0.106769
2019-11-29 09:30:52,digitec,200,0.230165,0.024653,0.073771,0.127512
2019-11-29 09:31:07,digitec,200,0.409242,0.015050,0.062911,0.136238
2019-11-29 09:31:23,digitec,200,0.339062,0.038297,0.128024,0.184991
2019-11-29 09:31:38,digitec,200,0.128769,0.022412,0.069530,0.089690
2019-11-29 09:31:53,digitec,200,0.195882,0.023185,0.069578,0.105974
2019-11-29 09:32:08,digitec,200,0.164308,0.014799,0.054899,0.089842
2019-11-29 09:32:24,digitec,200,0.132064,0.018265,0.053575,0.077982
2019-11-29 09:32:39,digitec,200,0.146018,0.020020,0.054515,0.075930
2019-11-29 09:32:54,digitec,200,0.113476,0.017865,0.044924,0.069146
2019-11-29 09:33:09,digitec,200,0.138168,0.013712,0.042049,0.071136
2019-11-29 09:33:24,digitec,200,0.165196,0.021717,0.057049,0.081273
